GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Book Store API,com.bookstoreapi.entity,Book,23,53,0,0,9,23,7,9,7,9
Book Store API,com.bookstoreapi.entity,Author,87,8,4,0,29,3,15,1,13,1
Book Store API,com.bookstoreapi.CircuitBreaker,ExternalServiceCaller,9,0,0,0,3,0,3,0,3,0
Book Store API,com.bookstoreapi.config,SecurityConfig,20,0,0,0,6,0,3,0,3,0
Book Store API,com.bookstoreapi.controller,BookController,67,3,0,0,14,1,6,1,6,1
Book Store API,com.bookstoreapi.controller,AuthorController,106,0,4,0,22,0,10,0,8,0
Book Store API,com.bookstoreapi.implementation,AuthorImplementation,66,0,0,0,15,0,7,0,7,0
Book Store API,com.bookstoreapi.implementation,BookImplementation,63,16,2,0,19,6,7,2,6,2
Book Store API,com.bookstoreapi.implementation,CustomerImplementation,20,0,0,0,6,0,3,0,3,0
Book Store API,com.bookstoreapi.Kafka,KafkaController,10,0,0,0,3,0,2,0,2,0
Book Store API,com.bookstoreapi.Kafka,KafkaProducerService,13,0,0,0,5,0,2,0,2,0
Book Store API,com.bookstoreapi.Kafka,KafkaConsumerService,8,0,0,0,3,0,2,0,2,0
Book Store API,com.bookstoreapi.Kafka,KafkaTopicConfig,11,0,0,0,5,0,2,0,2,0
Book Store API,com.bookstoreapi,SpringBootRestfulWebservicesApplication,5,3,0,0,2,1,1,1,1,1
